Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Angola,0.4065807860262009,0.4939879759519038,0.5755024729032937,0.0008591233803170518,0.0,0.005470149957559181,0.7155844,0.016554161749001175,0.002348895478870086,0.3537084728319659,0.022846279159815592,0.0028721876495931067,0.124859571928868
Benin,0.34856648471615725,0.038076152304609215,0.4890034725876039,3.726790919183558e-05,0.0,4.9638384369865536e-06,0.05,0.010532508366864575,0.0006761830751486412,0.8337065908561361,0.008773320937045541,0.012685495452369555,0.011277411955092262
Botswana,0.6720495633187773,0.6382765531062125,0.2690729243396822,0.0005982480159742027,0.0,4.9638384369865536e-06,0.0032679740000000003,0.044469153596923765,0.000671513284815739,0.5855188398251758,0.0617295316832139,0.00023934897079942556,0.05826033544093538
Burkina Faso,0.10889579694323144,0.09919839679358718,0.6824160791329054,0.0002961818046298512,0.0,0.00010424060717671761,0.12209302,0.0034620126401191022,0.00046137352256903167,0.7582449878581219,0.005026100593001608,0.008855911919578746,0.02746005392878608
Burundi,0.032276506550218347,0.0,0.8920340944964747,2.353762685800142e-05,0.0,0.00011913212248767727,0.66666664,0.0003935042751945263,6.164099972196057e-05,0.5118074047938801,0.0,0.05516993776926759,0.0027851755229452734
Cambodia,0.8253275109170306,0.3246492985971944,0.5615068925602441,0.0007728187485043799,0.0,0.0022386911350809353,0.53372787,0.01848895018306726,0.0015055346812630377,0.8457809629476012,0.012522360759722866,0.01112972714217329,0.01812923018125124
Cameroon,0.6014179039301311,0.22044088176352705,0.8356308534147111,0.0005864792025452021,0.0,0.0026606174022247926,0.6419161,0.0071834534676728365,0.0008751153940559387,0.6164271931658951,0.011548600122486893,0.00646242221158449,0.047614993776946994
Central African Republic,0.06441048034934499,0.00501002004008016,0.960328317373461,0.0,0.0,7.44575765547983e-05,1.0,0.00034460737085396573,1.6811180600551057e-05,0.5859842293023618,0.0021213681124829047,0.0007180469123982767,0.062392078079059166
Chad,0.0,0.05911823647294589,0.8185836051773124,5.884406714500355e-05,0.0,4.9638384369865536e-06,0.032258065,0.0011097929814374771,0.00020453603537861164,0.6018242295119982,0.004259884284359822,0.0013164193393968406,0.12859530665524646
Comoros,0.8285783296943231,0.07615230460921843,0.5622435020519836,1.9614689048334516e-05,0.0,0.0,0.0,0.007017328144882131,2.428281642343328e-05,0.5062227299782482,0.010384313068825637,0.055648635710866444,0.00022174039367833562
Djibouti,0.5765494541484717,0.09318637274549099,0.2938019572766495,1.176881342900071e-05,0.0,0.0,0.0,0.01261449903083713,3.3622360861142675e-05,0.8916889445504039,0.02820327900979629,0.004906653901388224,0.0023214636788934694
Equatorial Guinea,0.6353716593886463,0.23847695390781565,0.06924129222350836,0.0001863395459591779,0.0,0.0002233727296643949,0.32142856999999997,0.08381927793109328,0.0004940619211570628,0.010592775980504968,0.0724991903546472,0.0057443752991862135,0.0028073095008147005
Eswatini,0.7474829694323144,0.5370741482965932,0.6939913711459539,7.845875619333807e-06,0.0,0.0003325771752780991,0.9436620000000001,0.02672207311367608,8.405590301583064e-05,0.5611866180453785,0.03263486653513351,0.007778841550981331,0.0017369664171469623
Ethiopia,0.4330086244541485,0.06813627254509018,0.9357045143638851,1.9614689048334517e-06,0.0,0.007058578257394879,0.9992972600000001,0.0033418637292736138,0.00170913679003626,0.9297274918674303,0.005553982835780103,0.013523216850167545,0.11059767849625961
Ghana,0.8198689956331877,0.22244488977955912,0.4398610964958434,0.001837896363828944,0.0,0.003633529735874157,0.43858597000000005,0.013994754363402372,0.001866041174799724,0.8107707110429234,0.017863554847231757,0.016156055528961225,0.023887870269650942
Guinea,0.368995633187773,0.01402805611222445,0.688624644848995,0.00014711016786250888,0.0,0.0006502628352452385,0.63592236,0.004688384886628337,0.00036330830467021653,0.7555574005948836,0.0073451288464447114,0.006103398755385352,0.024621396305468526
Guinea-Bissau,0.2463052074235808,0.008016032064128258,0.9075028938230032,1.5691751238667613e-05,0.0,0.0,0.0,0.0022885891526982422,2.5216772818235168e-05,0.6821077664773514,0.004613132600830317,0.008137865007180469,0.0036159508461439155
Haiti,0.4103737336244542,0.04208416833667335,0.8039566452699148,0.00016672485691084337,0.0,8.43852534287714e-05,0.16666666,0.004604438175447161,0.0003044691605006617,0.28578432808911103,0.009598656962983008,0.04930588798468167,0.0027771632232640327
Kenya,0.6692139737991267,0.17535070140280562,0.7164053456803114,0.00024518361310418147,0.0,0.005082970559474231,0.8912098,0.008271512299280541,0.002075246961066604,0.7129398805235538,0.014907751378313412,0.011010052656773576,0.05812382588511624
Lesotho,0.39410709606986905,0.3917835671342685,0.41534252341365885,0.0,0.0,0.00024819192184932765,1.0,0.009438620677877511,6.631076776136888e-05,0.3692940929290306,0.007833920135458906,0.008257539492580183,0.003038063731634432
Liberia,0.16048034934497818,0.0020040080160320644,0.9180258865621382,6.0805536049837e-05,0.0,0.0,0.0,0.004202525176737268,0.000104602899142503,0.23562690245735257,0.003930657100700908,0.006103398755385352,0.011151919311334831
Madagascar,0.24716157205240177,0.0070140280561122245,0.8709881090182047,0.0002157615795316797,0.0,0.00045170929776577635,0.45273631999999997,0.002171053073372715,0.00037918551602101594,0.6764193125250787,0.002608855929077941,0.005505026328386788,0.058792251986023746
Malawi,0.030567685589519642,0.01002004008016032,0.7683889298116384,3.922937809666903e-05,0.0,0.000744575765547983,0.8823529000000001,0.0014930526259158009,0.00012981967995165288,0.7428694632471575,0.00321825995398481,0.02405457156534227,0.011864513214235173
Mali,0.4305270414847162,0.0070140280561122245,0.8064821635273072,0.0004217158145391921,0.0,0.0005807690971274267,0.35240963000000003,0.004832399339843844,0.0005388917388775406,0.6985231557112679,0.005760038231230086,0.0017951172809956917,0.12420777134979907
Mauritania,0.4086248034934499,0.4288577154308617,0.2599179206566347,0.0002667597710573494,0.0,0.00022833656810138147,0.25274725,0.01887283231986892,0.00036330830467021653,0.7628470906911344,0.013408997355334138,0.00035902345619913834,0.10322636278951819
Mozambique,0.23225382096069871,0.04609218436873747,0.8216352730716615,0.0007159361502642098,0.0,0.007475540686101749,0.8049172,0.01068048492235917,0.0006948621472875953,0.5420625659499266,0.0024641722145900638,0.004547630445189086,0.08005879826121079
Myanmar,0.6545691048034935,0.2875751503006012,0.6087551299589603,0.002506757260377151,0.0,0.005435403088500275,0.46144123,0.014291322507394436,0.003423877306940616,0.8263225607623982,0.009229961708898577,0.009693633317376736,0.06775971794301432
Namibia,0.5106669213973799,0.4639278557114228,0.3229506471640535,7.845875619333807e-06,0.0,0.0006552266736822251,0.9705882,0.04344149504866884,0.00038852505204379535,0.33682566520931223,0.0423174720621487,0.00011967448539971278,0.08255382838194913
Nepal,0.8897379912663756,0.3346693386773547,0.8143744080816584,0.0,0.0,0.003107362861553582,1.0,0.00708881009095574,0.0012505650563726413,0.8203369661418134,0.008555969654744304,0.02405457156534227,0.014738625263642217
Nicaragua,0.869632423580786,0.5501002004008017,0.5336209618015364,0.000425638752348859,0.0,0.0011466466789438938,0.515625,0.019239578231970745,0.0004837884091544558,0.15824765051856535,0.01503211428524776,0.006342747726184777,0.013054940639375505
Niger,0.11544291484716158,0.02104208416833667,0.8505735031042828,0.0001098422586706733,0.0,2.4819192184932767e-05,0.08196721,0.0011593803782291529,0.00019519649926243683,0.7744758774456361,0.002884187616959895,0.0020344662517951173,0.12689269297298283
Nigeria,0.5131004366812227,0.1272545090180361,0.8565716089655898,0.004542761983594274,0.0,0.0042142988330015835,0.26824644,0.010853354433336333,0.01076102362407977,0.5352585104858754,0.017715162495282565,0.026807084729535663,0.09251672242058784
Pakistan,0.7175512008733624,0.47695390781563124,0.45627696516889404,0.016954937213380355,0.011205693035667956,0.020113473346669516,0.36455193,0.020080215735224595,0.01779276783996536,0.46709540845982367,0.009384353007677235,0.03410722833891814,0.07972979320554983
Papua New Guinea,0.5596394650655022,0.08917835671342686,0.5586656845206777,0.0006198241739273707,0.0,0.0006353713199342789,0.28828829,0.014109876221630699,0.0007023337761805352,0.6808537141970527,0.02294080311561131,0.00215414073719483,0.04635305657715159
Rwanda,0.3490022598253275,0.017034068136272545,0.8193202146690519,0.00010788078976583985,0.0,0.00023330040653836797,0.46078434,0.0014341148506191454,0.00011861222549818457,1.0,0.005238809465530851,0.06258975586404979,0.0026357461338901347
Sao Tome and Principe,0.7267161572052402,0.028056112224448898,0.3902978006945175,1.5691751238667613e-05,0.0,4.9638384369865536e-06,0.11111111,0.015356200177252926,8.405591175390894e-06,0.5354140099172869,0.015570920717255963,0.028721876495931067,8.162530300263936e-05
Senegal,0.6768558951965067,0.24549098196392785,0.3914553298958224,0.000872853662650886,0.0,0.0003573963674630318,0.13926498,0.012155410581444454,0.0009862559406628633,0.6758537668714697,0.010637484327234239,0.010172331258975587,0.01970034199499652
Sierra Leone,0.15611353711790393,0.00501002004008016,0.7938545722403452,3.922937809666903e-06,0.0,9.431293030274451e-05,0.9047620000000001,0.0013736293866391984,7.845217580777558e-05,0.7304413221247755,0.0025979285714402625,0.013044518908568694,0.007182926510486247
Solomon Islands,0.6704085152838429,0.09018036072144289,0.5092076186467431,1.9614689048334516e-05,0.0,0.0,0.0,0.008661487497779695,2.8018636426932468e-05,0.4708955167317873,0.018725781302105005,0.002752513164193394,0.0028919394161978054
Somalia,0.44541484716157215,0.027054108216432865,1.0,6.47284738595039e-05,0.0,9.927676873973107e-06,0.057142860000000004,0.0,5.883913333007887e-05,0.91161489027719,0.0016920114433454998,0.002752513164193394,0.06386163399434472
South Africa,0.8362445414847162,0.8627254509018035,0.1104914237609176,0.04087505050782429,0.016802362214452502,0.006239544915292098,0.11157059999999999,0.12167660936807285,0.0410547732252132,0.40098190146326984,0.05661138141854414,0.005624700813786501,0.12209432700137982
Sudan,0.4974076419213974,0.5350701402805611,0.6548458381563717,0.0011729584050904041,0.0,0.005127645105407109,0.6333538,0.01074041069668157,0.0019202105282627952,0.2541496896489201,0.003387136735208357,0.002752513164193394,0.18643249251926633
Togo,0.47994661572052405,0.09068136272545091,0.801957276649479,8.826610071750532e-05,0.0,0.00012409596092466382,0.35714287,0.005180546519189711,0.00021574347871802143,0.7436217973126837,0.005886679558037425,0.01795117280995692,0.00568512723882432
Uganda,0.3591703056768559,0.003006012024048096,0.9493844049247606,1.7653220143501063e-05,0.0,0.002104667497282299,0.9792147,0.0028107428359575733,0.0005416936219872078,0.8063471212183039,0.005047965504709436,0.0271661081857348,0.02413875540341979
Vanuatu,0.6134300218340613,0.0781563126252505,0.3352625486688414,9.807344524167258e-06,0.0,9.927676873973107e-06,0.28571428,0.014085597817904524,1.400931699185375e-05,0.6444616074245672,0.02556041593932297,0.002752513164193394,0.0012186707815167062
Zambia,0.37772925764192145,0.11022044088176353,0.8891928864569083,0.00040210112549085754,0.0,0.00626436410747703,0.8602589999999999,0.013264638964510278,0.0006294853502049285,0.4860994433334955,0.009529893615445947,0.002752513164193394,0.07537540879003359
Zimbabwe,0.41901173580786033,0.2995991983967936,0.8576239082395033,0.0007178976191690433,0.0,0.0022734380041398413,0.55582527,0.0133597991999481,0.0010927267852889812,0.0,0.009633792846178156,0.00430828147438966,0.03913367410311569
